year,avgPrice
2022-1-24,3090
2022-1-25,3092
2022-1-26,3092
2022-1-27,3037
2022-1-28,3037
2022-2-3,2903
2022-2-4,2904
2022-2-7,2904
2022-2-8,2904
2022-2-9,2901
2022-2-10,2924
2022-2-11,3021
2022-2-14,3021
2022-2-15,3075
2022-2-16,3075
2022-2-17,3081
2022-2-18,3081
2022-2-21,3081
2022-2-22,3126
2022-2-23,3126
2022-2-24,3164
2022-2-25,3222
2022-2-28,3254
2022-3-2,3311
2022-3-3,3400
2022-3-4,3456
2022-3-7,3401
2022-3-8,3441
2022-3-9,3441
2022-3-10,3408
2022-3-11,7353
2022-10-18,5646
2022-10-19,5431
2022-10-20,5068
2022-10-21,5107
2022-10-24,4953
2022-10-25,5110
2022-10-26,4999
2022-10-27,4770
2022-10-28,4721
2022-10-31,4700
2022-11-1,4696
2022-11-2,4551
2022-11-3,4290
2022-11-4,4156
2022-11-7,3174
2022-11-8,3173
2022-11-9,3164
2022-11-10,3318
2022-11-11,3303
2022-11-14,3276
2022-11-15,3284
2022-11-16,3259
2022-11-17,3091
2022-11-18,3047
2022-11-21,3146
2022-11-22,3123
2022-11-23,3124
2022-11-24,3153
2022-11-25,3153
2022-11-28,3153
2022-11-29,3099
2022-11-30,3093
2022-12-1,3152
2022-12-5,3121
2022-12-6,3124
2022-12-7,3138
2022-12-8,3128
2022-12-9,3125
2022-12-12,3139
2022-12-13,3135
2022-12-14,3161
2022-12-15,3282
2022-12-16,3239
2022-12-19,3216
2022-12-20,3235
2022-12-21,3253
2022-12-22,3213
2022-12-23,3229
2022-12-26,3270
2022-12-27,3284
2022-12-28,3311
2022-12-29,3322
2022-12-30,3317
2023-1-2,3384
2023-1-3,3370
2023-1-4,3357
2023-1-5,3326
2023-1-6,3314
2023-1-9,3323
2023-1-10,3334
2023-1-11,3345
2023-1-12,3337
2023-1-13,3321
2023-1-16,3308
2023-1-17,3306
2023-1-18,3298
2023-1-19,3371
2023-1-20,3367
2023-1-25,3377
2023-1-26,3347
2023-1-27,3343
2023-1-30,3416
2023-1-31,3430
2023-2-1,3459
2023-2-2,3444
2023-2-3,3469
2023-2-6,3437
2023-2-7,3512
2023-2-8,3561
2023-2-9,3561
2023-2-10,3577
2023-2-13,3529
2023-2-14,3495
2023-2-15,3500
2023-2-16,3526
2023-2-17,3455
2023-2-20,3408
2023-2-21,3441
2023-2-22,3471
2023-2-23,3525
2023-2-24,3525
2023-2-27,3597
2023-2-28,3597
2023-3-2,3574
2023-3-3,3574
2023-3-8,7674
2023-3-9,7924
2023-3-10,7631
2023-3-13,7845
2023-3-14,7791
2023-3-15,7912
2023-3-16,7422
2023-3-17,7366
2023-3-20,7377
2023-3-21,7325
2023-3-22,7114
2023-3-23,7144
2023-3-24,7036
2023-3-27,6941
2023-3-28,6941
2023-3-29,7356
