year,avgPrice
20191231,2574
20200102,2543
20200103,2542
20200106,2539
20200107,2526
20200108,2540
20200109,2540
20200110,2573
20200113,2556
20200114,2552
20200115,2572
20200116,2617
20200117,2617
20200120,2645
20200121,2647
20200122,2653
20200123,2686
20200128,2755
20200129,2780
20200130,2812
20200131,2750
20200203,2768
20200204,2772
20200205,2741
20200206,2729
20200207,2729
20200210,2660
20200211,2635
20200212,2635
20200213,2631
20200214,2631
20200217,2631
20200218,2714
20200219,2741
20200220,2758
20200221,2743
20200224,6453
20200225,6379
20200226,6579
20200227,6416
20200228,6534
20200302,6618
20200303,6618
20200304,6542
20200305,6925
20200306,6881
20200309,6739
20200310,6591
20200311,6591
20200312,6158
20200313,6076
20201014,6436
20201015,6333
20201016,6238
20201019,4918
20201020,4632
20201021,4648
20201022,4429
20201023,4382
20201026,4193
20201027,4149
20201028,3435
20201029,3343
20201030,3290
20201102,3197
20201103,3143
20201104,3120
20201105,3255
20201106,3255
20201109,3256
20201110,3223
20201111,3219
20201112,2935
20201113,2936
20201116,2881
20201117,2903
20201118,2930
20201119,2910
20201120,2873
20201123,2796
20201124,2769
20201125,2750
20201126,2828
20201127,2825
20201130,2840
20201201,2840
20201202,2825
20201203,2839
20201207,2792
20201208,2777
20201209,2793
20201210,2734
20201211,2696
20201214,2694
20201215,2666
20201216,2637
20201217,2585
20201218,2585
20201221,2585
20201222,2558
20201223,2575
20201224,2579
20201228,2590
20201229,2582
20201230,2587
20201231,2534
20210104,2505
20210105,2492
20210106,2494
20210107,2608
20210108,2576
20210111,2605
20210112,2615
20210113,2641
20210114,2577
20210115,2579
20210118,2607
20210119,2671
20210120,2674
20210121,2674
20210122,2685
20210125,2785
20210126,2785
20210127,2725
20210128,2752
20210129,2724
20210201,2763
20210202,2763
20210203,2803
20210204,2804
20210205,2804
20210208,2804
20210209,2790
20210210,2781
20210215,2796
20210216,2796
20210217,2790
20210218,2782
20210219,2786
20210222,2786
20210223,2786
20210224,2786
20210225,2785
20210226,2813
20210302,2813
20210303,2815
20210304,2815
20210305,2846
20210308,2846
20210309,2829
20210310,2829
20210311,4872
20210312,5085
20210315,4987
20210316,5113
20210317,6339
20210318,6561
20210319,6738
20210322,6827
20210323,6827
20210324,6827
20210325,6357
20210326,6447
20210329,6381
20210330,6381
20210331,6392
20210401,6872
20210402,6829
20210405,6922
20210406,6922
20210407,7164
20210713,8743
20210714,8961
20210715,9009
20210716,9159
20210719,9028
20210720,9076
20210721,9083
20210722,8986
20210723,8975
20210726,9109
20210727,8986
20210728,8917
20210729,8714
20210730,8714
20210802,8745
20210803,8687
20210804,8687
20210805,8720
20210806,8635
20210809,8662
20210810,8759
20210811,8668
20210812,8752
20210813,8834
20210817,8791
20210818,8791
20210819,8627
20210820,8670
20210823,8583
20210824,8583
20210825,8562
20210826,8656
20210827,8677
20210830,8587
20210831,8690
20210901,8725
20210902,8829
20210903,8817
20210906,8760
20210907,8691
20210908,8712
20210909,8733
20210910,8750
20210913,8741
20210914,8776
20210915,8756
20210916,8846
20210917,8871
20210923,8927
20210924,8803
20210927,8667
20210928,8686
20210929,8653
20210930,8877
20211001,8841
20211005,8474
20211006,8330
20211007,7956
20211008,7924
20211012,7942
20211013,7712
20211014,7468
20211015,7315
20211018,7134
20211019,7073
20211020,6993
20211021,6826
20211022,6787
20211025,6753
20211026,4554
20211027,4221
20211028,3232
20211029,3746
20211101,3210
20211102,3168
20211103,3172
20211104,3171
20211105,3165
20211108,3186
20211109,3173
20211110,3164
20211111,3094
20211112,3085
20211115,3075
20211116,3075
20211117,3038
20211118,3048
20211119,3047
20211122,2845
20211123,2889
20211124,2918
20211125,2908
20211126,2904
20211129,2939
20211130,2932
20211201,2902
20211202,2916
20211206,2925
20211207,2923
20211208,2920
20211209,2920
20211210,2933
20211213,2927
20211214,2927
20211215,2910
20211216,2832
20211217,2815
20211220,2850
20211221,2859
20211222,2859
20211223,2868
20211224,2801
20211227,2790
20211228,2798
20211229,2804
20211230,2895
20211231,2900
20220103,2870
20220104,2888
20220105,2891
20220106,2964
20220107,2983
20220110,3042
20220111,3039
20220112,3095
20220113,3087
20220114,3087
20220117,3106
20220118,3096
20220119,3087
20220120,3114
20220121,3113
20220124,3090
20220125,3092
20220126,3092
20220127,3037
20220128,3037
20220203,2903
20220204,2904
20220207,2904
20220208,2904
20220209,2901
20220210,2924
20220211,3021
20220214,3021
20220215,3075
20220216,3075
20220217,3081
20220218,3081
20220221,3081
20220222,3126
20220223,3126
20220224,3164
20220225,3222
20220228,3254
20220302,3311
20220303,3400
20220304,3456
20220307,3401
20220308,3441
20220309,3441
20220310,3408
20220311,7353
20221018,5646
20221019,5431
20221020,5068
20221021,5107
20221024,4953
20221025,5110
20221026,4999
20221027,4770
20221028,4721
20221031,4700
20221101,4696
20221102,4551
20221103,4290
20221104,4156
20221107,3174
20221108,3173
20221109,3164
20221110,3318
20221111,3303
20221114,3276
20221115,3284
20221116,3259
20221117,3091
20221118,3047
20221121,3146
20221122,3123
20221123,3124
20221124,3153
20221125,3153
20221128,3153
20221129,3099
20221130,3093
20221201,3152
20221205,3121
20221206,3124
20221207,3138
20221208,3128
20221209,3125
20221212,3139
20221213,3135
20221214,3161
20221215,3282
20221216,3239
20221219,3216
20221220,3235
20221221,3253
20221222,3213
20221223,3229
20221226,3270
20221227,3284
20221228,3311
