year,avgTemp,maxTemp,minTemp,rainFall,avgPrice
20151216,5.5,8.7,1,2.3,2165
20151217,3.8,6.2,1.4,1.3,2154
20151218,6,10,3.1,0,2174
20151221,12.3,15.4,10.2,4.3,2160
20151222,13.3,16.4,9.2,0,2164
20151223,13.7,15.5,11.9,4.8,2146
20151224,11.7,16.7,9.3,0,2145
20151228,6.4,9,3.5,0,2094
20151229,6.6,10.1,3.4,0,2109
20151230,7.3,10.9,3.6,0,2073
20151231,9,12.1,6.6,0,2132
20160104,12.2,16.1,8.3,0,2156
20160105,8.6,11.8,6.7,5.6,2169
20160106,9.2,12.5,6.9,0,2195
20160107,6.4,8.8,4.9,0,2203
20160108,5.3,8,2.9,0,2212
20160111,8.6,12.1,6.4,0,2212
20160112,5.4,8.2,3.6,0,2187
20160113,3.9,6.1,1.8,0,2204
20160114,5.5,8.9,3.7,0,2130
20160115,6.6,11,4,0,2126
20160118,3.3,8.3,-1.5,0.9,2178
20160119,0.2,2.8,-1.8,1.4,2172
20160120,3.6,6.5,0.7,0,2176
20160121,4.3,6.4,2.5,1.2,2216
20160122,4.7,7.7,1.6,0,2240
20160125,0.7,2.7,-2.5,0.8,2253
20160126,4.4,6.7,2.3,0,2260
20160127,6.2,9.3,2.7,0,2285
20160128,9.7,13.3,5.9,26.5,2328
20160129,9.2,10.3,8.1,19.2,2334
20160201,5.4,7.8,3,0.6,2373
20160202,4.3,7.3,2.1,0,2455
20160203,4.5,8.9,1.5,0,2471
20160204,6.5,10.6,2.6,0,2593
20160205,7.2,11.6,4,0,2603
20160211,14.9,16.7,11.8,0,2697
20160212,15.8,16.5,14.7,94.7,2697
20160215,1.1,3.9,-0.7,2,2767
20160216,4.7,8,1.2,0,2809
20160217,6.4,9.6,4.1,0,2930
20160218,7.2,11,3.3,0,3141
20160219,9.2,11.6,7,5.5,3239
20160222,6.8,9.3,5.6,7.4,3265
20160223,8.6,13.2,6.1,0.3,3319
20160224,3.9,8,1.7,0,3353
20160225,3.8,7.4,1,0,3271
20160226,7.6,11.3,2.2,0,3271
20160229,3,8.5,0.6,0,3172
20160302,7.1,11.5,1.9,0,3249
20160303,12,14.8,7.3,3.3,3249
20160304,16.4,17.9,14.7,0,3234
20160307,14.3,17.5,10.1,0,3234
20160308,11.8,15.4,7.3,12.2,3255
20160309,8.6,12,7.1,16.7,3255
20160310,7.4,10.3,4.7,0,3281
20160311,5.5,9.7,2.6,0,3281
20160314,8.6,13,4.4,0,3281
20160315,9.2,12.9,4.3,0,3281
20160316,11.2,14.9,8,0,3281
20160317,13.8,17.7,8.8,1.6,3226
20160318,14.1,15.7,13.6,16.5,3226
20161011,19,21.5,17.1,0,4207
20161012,19.6,23.1,17.3,0,4311
20161013,19.5,21.8,17.6,0,4032
20161014,20.7,24.1,18.5,0,4017
20161017,21.6,24.9,19.3,0,3895
20161018,20.8,24,17.3,0,3833
20161019,20.7,23.8,19.3,0,3802
20161020,19.9,21.8,17.7,0,3697
20161021,19.1,20.8,18.1,27.5,3632
20161024,18.8,20.9,16.9,0,3544
20161025,20.2,25.3,17.8,5.1,3475
20161026,18.1,21.7,15.4,8.4,3412
20161027,19.7,22.1,17.3,0.1,3056
20161028,19.5,23,17.5,24.3,3048
20161031,15.9,18.5,13.2,0,3054
20161101,12,14.8,9.1,0,2999
20161102,12.2,16,8.4,0,2999
20161103,13.7,18.5,10.1,0,2846
20161104,14.2,18.2,10.3,0,2821
20161107,17.7,20.7,16.2,0,2796
20161108,15,17.1,11.4,3.1,2781
20161109,12.6,15.6,9.7,0,2761
20161110,13.2,15.9,11,7.9,2737
20161111,14.3,18.4,11.5,0,2746
20161114,19.3,22.9,16.2,5.8,2758
20161115,16.7,20.4,11.9,0,2758
20161116,14.6,18.9,10.8,0,2743
20161117,16.3,19.7,12.5,0,2635
20161118,18.9,21,16.4,5.7,2632
20161121,17.8,19.3,15.6,2.3,2635
20161122,15.4,19,11.4,0,2629
20161123,11.2,13.9,9.8,0,2647
20161124,8,10.4,5.9,0,2722
20161125,10.3,13,7.4,0,2712
20161128,10.3,13.8,7.1,0,2712
20161129,11.9,15.6,8.1,0,2712
20161130,13.3,16.9,11.6,0,2736
20161201,12.5,15.6,8.9,0,2620
20161205,13.6,17.2,10.2,0,2564
20161206,9.8,12.4,7,0,2557
20161207,9.8,13.8,6.7,0,2546
20161208,11.4,15,6.7,0,2620
20161209,12.2,15.6,8.2,0,2644
20161212,14,16.6,10.3,0,2660
20161213,14.1,17,12.2,0.1,2686
20161214,7.8,12.6,5.2,0,2677
20161215,5,7.3,2.9,0,2694
20161216,6.1,8.8,2.3,0,2701
20161219,16.4,18.3,14.5,12.3,2714
20161220,14.6,18,11.4,0,2715
20161221,18.1,19.8,15.6,20.9,2715
20161222,10.8,19.1,7.7,3.1,2737
20161223,7.1,8.6,5.2,0.1,2739
20161226,13.9,16.6,11.8,34.8,2739
20161227,6,12.6,2.8,0,2764
20161228,5.9,9.9,1.6,0,2771
20161229,6.5,9.6,4.5,0,2796
20161230,6.8,10.3,4.2,0,2798
20170102,11.8,15.1,9.9,0.3,2803
20170103,11.2,15.5,8,0,2829
20170104,11.1,15.5,6.8,0,2851
20170105,11.7,14.5,9.1,6.7,2973
20170106,11.2,13.8,9.4,3.2,2974
20170109,8.5,11.2,6.6,0,3004
20170110,6.9,10.5,4.2,0,3032
20170111,5.5,8.7,3.7,0,3046
20170112,6.7,10,3.4,0,3047
20170113,5.7,10.3,2.2,0,3053
20170116,4.5,8.7,1.3,0,3048
20170117,6.7,10.7,2.6,0,3100
20170118,8.1,11.2,5.2,0,3100
20170119,7.8,10.8,5.6,0,3115
20170120,3,6.2,0.2,1.3,3110
20170123,2.4,6.2,0,0,3078
20170124,3.8,7.6,0.4,0,3095
20170125,5.7,9.6,2.6,0,3093
20170126,6.8,11.6,2.7,0,3236
20170131,5.4,8.3,1.5,0,3268
20170201,6.7,10,3.9,0,3270
20170202,7.6,12.5,3.1,0,3290
20170203,10,13.3,5.7,0,3291
20170206,6.5,10.2,4.4,0,3334
20170207,8.1,12.6,4.4,0,3448
20170208,7.6,10.7,4.2,0,3536
20170209,2.2,4.9,-0.7,0.1,3619
20170210,0.8,4.2,-1.6,1.4,3644
20170213,6.9,12.2,1.6,0,3717
20170214,8.6,12,5.5,0,3762
20170215,9,14.1,4.3,0,3806
20170216,13.1,16.2,7.1,2.1,5160
20170217,13.6,17.1,8.8,1.2,5214
20170220,11.2,15.4,5.2,2.7,5311
20170221,8.1,11.9,3.8,0,5349
20170222,11.5,15.5,8.4,57.2,5330
20170223,6.8,10,3.4,0,5528
20170224,5.9,9.2,2.8,0,5501
20170227,8.6,12.6,4.6,0,5494
20170228,9.4,14.1,4.3,0,5528
20170302,5.7,7.9,3.9,0,5607
20170303,8.4,13.1,3.4,0,5804
20170306,8.7,12.1,5,0,5748
20170307,5.2,9.7,2,0,5935
20170308,5.2,8.3,2,0.4,5959
20170309,8.8,13.1,5,0,6149
20170310,11.3,16.6,7.2,0,6166
20170313,11,13,8.6,3.2,6236
20170314,11.1,15.3,7.7,0,6285
20170315,9.3,12.6,5.7,0,6285
20170316,10,13.8,6.2,0,6285
20170317,10.6,15.3,5.8,0,6366
20170320,12.1,13.6,11,13.4,6270
20170321,11.9,15.9,9,0.5,6145
20170322,10.9,13.3,7.2,0,6383
20171016,18,20,16.6,17.9,4308
20171017,19.9,22.2,17.5,0,4271
20171018,19.6,21.6,18.5,0,4259
20171019,19,21.9,16.8,0,4148
20171020,18.9,23,14.2,0,4191
20171023,17.4,20.2,15.5,0,4175
20171024,16.9,21.4,14.4,0,4111
20171025,16.5,21.5,13.3,0,4044
20171026,16.9,21.4,11.7,0,3757
20171027,18.7,22.4,14.7,0,3698
20171030,14.6,18.4,11.4,0,3646
20171031,15.2,19.1,11.4,0,3573
20171101,15.5,19.6,12.8,0,3568
20171102,16.2,20.2,12.9,0,3533
20171103,17.1,22.3,12.8,0,3476
20171106,16.6,20.6,11.9,0,3396
20171107,20.2,22.5,16.5,2,3377
20171108,19,22.3,14,0.2,3355
20171109,16.6,20.5,11.8,0,3151
20171110,18.5,21.6,15.9,0,3064
20171113,15.3,18.8,10.9,0,3008
20171114,16.1,20.2,13.2,0,3000
20171115,12.2,16.7,8.6,0,3000
20171116,10.8,14.9,7.9,0,2824
20171117,13.1,15.9,8.8,0.4,2824
20171120,10.2,14.8,7.5,0,2818
20171121,10.5,14.1,6.7,0,2814
20171122,12.6,16,10.7,0,2780
20171123,9,12.1,7,0,2883
20171124,10,13,7.4,0,2876
20171127,12.2,15.5,9.4,0,2887
20171128,16.1,18.4,10.7,1,2875
20171129,15.6,18.1,13.6,3.1,2875
20171130,12.7,15.8,8.1,0,2775
20171204,9.3,14.9,5.1,0,2715
20171205,5.4,8.4,2.9,0.2,2721
20171206,7.7,11.3,4.5,0,2712
20171207,9.6,13.7,7,0,2775
20171208,5.4,8.4,4.3,1.6,2774
20171211,5.5,8.6,3.6,0.1,2789
20171212,3.5,6,2.5,0,2789
20171213,5,8.6,2.1,0,2789
20171214,5.5,7.8,2.9,0,2854
20171215,9.1,12.7,5.1,0,2830
20171218,6.3,8.7,3.3,0,2834
20171219,7,10,4.5,0,2827
20171220,5.8,10.2,3.4,0.9,2861
20171221,6.5,10.9,2.5,0,2916
20171222,8.4,12.7,4.3,0,2927
20171226,6.3,11,3.5,0,2943
20171227,5,8.3,2.8,0,2939
20171228,7.4,10.3,4.1,0,3083
20171229,9,12.7,4.8,0,3107
20180102,7.7,11.5,3.8,0,3120
20180103,8.6,11.3,7,0,3165
20180104,7.5,9.3,5.1,3.3,3220
20180105,6.2,9.9,4,2.5,3242
20180108,10,14.1,5.4,1.1,3328
20180109,3.7,5.7,1.4,1.3,3292
20180110,0.7,4.4,-1.6,8.3,3299
20180111,-1.2,1.4,-3,5.8,3376
20180112,0.2,3.7,-3,2.1,3371
20180115,12,16.2,9.2,0,3345
20180116,13.5,14.9,10.2,32.3,3381
20180117,11,14.3,7.4,0.2,3406
20180118,10.3,12.9,7.4,0,3382
20180119,9.2,12.6,6,0,3413
20180122,8.9,12.7,6.6,1.5,3394
20180123,3.3,7,0.1,0,3371
20180124,0.6,3.8,-2,0,3359
20180125,1.1,3.1,-2,0,3322
20180126,1.9,4.2,0.5,0,3322
20180129,2.1,6.3,-0.1,0,3329
20180130,2.5,6.8,-1.6,0,3345
20180131,4,7.4,1.7,0.2,3373
20180201,5,8.8,2.4,0,3363
20180202,5.8,9,2.6,0,3356
20180205,0,3.1,-2.5,2,3376
20180206,-0.8,2.4,-2.2,0.5,3402
20180207,1.1,5.8,-2.6,0,3421
20180208,3.3,7.5,-0.4,5.5,3462
20180209,6.9,10.4,2.9,0,3462
20180212,1.5,3.4,-0.9,0,5005
20180213,5,8.2,2.1,0,5046
20180214,10.5,12.7,4.8,0,5042
20180219,8.1,10.3,5.2,0.5,6938
20180220,9.8,14.2,4.4,0,6969
20180221,9.2,11.8,7.2,0,6814
20180222,5.9,9.3,2.7,0,6725
20180223,7.8,12.3,2.6,0,6509
20180226,9.9,14,6,0,6461
20180227,11.4,15,6.7,0,6462
20180228,11.3,16,7.1,0,6313
20180302,8,11.1,4.9,0,6066
20180305,11.8,17.3,8,2,6106
20180306,9.3,12.6,6.5,0,6029
20180307,9.9,11.5,8.9,18.6,6029
20180308,9.6,11.9,5.1,6.3,6138
20180309,7.5,10.9,3.2,0,6083
20181015,19.2,22.8,16.5,0,5022
20181016,16.2,20.4,13,2.4,4961
20181017,17.4,21.6,13.1,0,4889
20181018,16.1,20.6,12.9,0,4432
20181019,15.8,20.4,10.7,0,4387
20181022,17.3,20.6,14.6,1.1,4276
20181023,19.2,23.3,16.2,0,4289
20181024,17.1,21.1,14.3,0,4148
20181025,17.6,21.4,13,0,3972
20181026,18,20.7,15.3,3,3906
20181029,17,21.9,12,0,3688
20181030,14.1,18.1,11.8,0,3653
20181031,13,17.3,9.8,0,3564
20181101,13.4,17.9,9,0,3497
20181102,14.6,19.3,10,0,3399
20181105,16.2,20.4,11.8,0,3262
20181106,17.5,21.2,13,0,3253
20181107,18.7,21.8,17,0.9,3266
20181108,17.8,20.7,13.8,33.5,3289
20181109,15,18.5,12.5,0,3260
20181112,15.6,18.1,13.5,4.5,3245
20181113,14.5,18.3,11.6,0,3230
20181114,14,19,10.3,0,3208
20181115,16.3,19.9,11.9,0,2990
20181116,14.7,16.8,13.5,8,2987
20181119,13,17.1,10.6,0,2984
20181120,11.8,16.1,8.6,0,2960
20181121,13.5,16.1,10.8,1.1,2972
20181122,10.6,14.3,7.3,0,3132
20181123,9.1,13.4,5.6,0,3113
20181126,14.4,16.5,10.7,0.1,3153
20181127,15.5,21.1,11.8,0,3138
20181128,14.5,18.7,11.5,0,3139
20181129,13.6,17.9,8.9,0,2942
20181130,13.9,17.9,10.6,0,2861
20181203,19,21.8,17,6.5,2858
20181204,17.4,20.3,14.7,0.6,2858
20181205,13.7,16.8,10.6,0,2842
20181206,12.2,14,10.8,8.4,2900
20181210,7.9,11.2,4.2,0,2917
20181211,10.8,12.7,8.8,8.2,2917
20181212,7.3,10.4,4.8,0,2917
20181213,7.1,10.3,4.1,0,2904
20181214,6.4,9.8,4.2,0,2899
20181217,9.6,11.9,8.2,0,2899
20181218,9.1,12.5,5.2,0,2922
20181219,13.5,17.1,7.1,0,2922
20181220,13.1,15.8,11.4,10.5,3019
20181221,15,18.4,12,0,3019
20181224,8.3,11.6,4.9,0,2992
